X	Y	Construct
0	-0.294367186	WT
14.64	90.38574842	WT
15.54	114.7529913	WT
21.64	107.1281009	WT
26.84	114.1111526	WT
31.64	152.6771204	WT
0	-0.179535179	WT
8.7	96.69491438	WT
8.4	94.47843387	WT
12.8	102.6235838	WT
17.9	113.032774	WT
19.2	128.5747446	WT
0	-5.813381935	WT
17.6	91.74702643	WT
25.8	107.6510653	WT
31.1	108.5592434	WT
54.2	127.7027257	WT
66.8	142.4505954	WT
0	-0.636814439	WT
19.4	102.8532319	WT
7.1	94.34839035	WT
21.8	118.9335254	WT
48.8	124.9411059	WT
80.5	129.7802804	WT
0	-1.698329911	WT
11.46	62.40709855	WT
21.96	85.37709151	WT
24.56	96.93581133	WT
40.56	98.44344554	WT
96.26	179.2674415	WT
0	5.021490918	Y320E
13.64	36.68810631	Y320E
14.84	43.3533059	Y320E
14.64	48.64677629	Y320E
22.94	76.73715877	Y320E
26.94	99.43161564	Y320E
0	7.375615292	Y320E
7.65	31.85357098	Y320E
9.05	55.84088037	Y320E
16.95	42.41449759	Y320E
16.15	34.77063468	Y320E
26.25	94.15263472	Y320E
0	6.259694282	Y320E
22.3	47.6042823	Y320E
30.1	62.42366786	Y320E
39.4	69.26234078	Y320E
56.5	110.4349114	Y320E
62	94.3371488	Y320E
0	-1.949886338	Y320E
15.6	39.7817382	Y320E
21.3	42.51867494	Y320E
19.4	48.64241541	Y320E
47.8	33.29244986	Y320E
73.8	101.8607672	Y320E
0	-16.38340798	Y320E
17.12	23.12278978	Y320E
29.72	32.66577532	Y320E
36.22	17.5591285	Y320E
74.02	41.04094948	Y320E
111.62	79.61062876	Y320E
0	-4.571804314	Y320F
14.97	64.7398665	Y320F
11.57	60.59900084	Y320F
13.57	41.77799585	Y320F
22.97	48.91973687	Y320F
29.87	84.58535344	Y320F
0	3.595710096	Y320F
8.37	53.52933691	Y320F
14.77	64.93065831	Y320F
20.77	60.86977919	Y320F
38.17	69.78790561	Y320F
29.17	107.8677334	Y320F
0	2.550753312	Y320F
29.8	47.46190823	Y320F
32	72.96909859	Y320F
56.1	79.19194926	Y320F
67.7	67.43426298	Y320F
49.9	136.4637808	Y320F
0	16.57597351	Y320F
17.1	68.92563189	Y320F
20.8	81.90730709	Y320F
23	70.55169248	Y320F
34.9	182.5244893	Y320F
0	1.88234567	Y320F
9.4	23.38790818	Y320F
25.9	44.23491788	Y320F
36.5	55.32779935	Y320F
56	67.54332917	Y320F
69.4	96.43315571	Y320F
